Main Header,Subheader 1,Subheader 2,Section,site
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 1,https://www.corpusthomisticum.org/snp4001.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 2,https://www.corpusthomisticum.org/snp4002.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 3-6,https://www.corpusthomisticum.org/snp4003.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 7,https://www.corpusthomisticum.org/snp4007.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 8-10,https://www.corpusthomisticum.org/snp4008.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 11-12,https://www.corpusthomisticum.org/snp4011.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 13,https://www.corpusthomisticum.org/snp4013.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 14,https://www.corpusthomisticum.org/snp4014.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 15,https://www.corpusthomisticum.org/snp4015.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 16-17,https://www.corpusthomisticum.org/snp4016.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 18-19,https://www.corpusthomisticum.org/snp4018.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 20-22,https://www.corpusthomisticum.org/snp4020.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 23,https://www.corpusthomisticum.org/snp4023.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 24-25,https://www.corpusthomisticum.org/snp4024.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 26,https://www.corpusthomisticum.org/snp4026.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 27-33,https://www.corpusthomisticum.org/snp4027.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 34-36,https://www.corpusthomisticum.org/snp4034.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 37-42,https://www.corpusthomisticum.org/snp4037.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 43-44,https://www.corpusthomisticum.org/snp4043.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 45-46,https://www.corpusthomisticum.org/snp4045.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctiones 47-48,https://www.corpusthomisticum.org/snp4047.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 49 quaestio 1,https://www.corpusthomisticum.org/snp40491.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 49 quaestio 2,https://www.corpusthomisticum.org/snp40492.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 49 quaestio 3,https://www.corpusthomisticum.org/snp40493.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 49 quaestio 4,https://www.corpusthomisticum.org/snp40494.html
OPERA MAIORA,Scriptum super Sententiis,Liber 4,Distinctio 49 quaestio 5,https://www.corpusthomisticum.org/snp40495.html
